vd<,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,pH y FOS/TAC del biodigestor 050,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Fecha,Hora,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,,Fecha,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,Hora,,,,,,,,,ST,SV,Cenizas,pH,Conductividad,FOS,TAC,FOS/TAC,protocolo
2022-08-11 00:00:00,,,7.9,5900.999999999996,8400,0.7024999999999996,33.6,7.199999999999996,40.8,,2022-09-18 00:00:00,,7.79,1004.0000000000007,7500,0.13386666666666674,30,1.3000000000000007,31.3,,,,,,,,,,,,,,,,,,
2022-08-11 00:00:00,,,7.63,1086.9999999999989,8650,0.12566473988439295,34.6,1.3999999999999986,36,,2022-09-19 00:00:00,,,-75,0,,,0.0,,,,,,,,,,,,,,,,,,,
2022-08-12 00:00:00,,,7.85,1087.0000000000045,8074.999999999999,0.13461300309597582,32.3,1.4000000000000057,33.7,,2022-09-20 00:00:00,,7.85,-987.9999999999981,6850,-0.1442335766423355,27.4,-1.0999999999999979,26.3,,,,,,,,,,,,,,,,,,
2022-08-13 00:00:00,,,7.8,1585,8725,0.18166189111747852,34.9,2.0,36.9,,2022-09-21 00:00:00,Jason,7.61,1253.0000000000011,8775,0.1427920227920229,35.1,1.6000000000000014,36.7,,,,,,,,,,,,,,,,,,
2022-08-16 00:00:00,,,7.79,2331.9999999999986,8350,0.2792814371257483,33.4,2.8999999999999986,36.3,,2022-09-22 00:00:00,Jason,7.68,1253.0000000000011,8575,0.14612244897959198,34.3,1.6000000000000014,35.9,,,,,,,,,,,,,,,,,,
2022-08-18 00:00:00,,,7.87,1501.9999999999989,8675,0.17314121037463964,34.7,1.8999999999999986,36.6,,2022-09-23 00:00:00,Jason,7.7,1086.9999999999989,8100,0.1341975308641974,32.4,1.3999999999999986,33.8,,,,,,,,,,,,,,,,,,
2022-08-18 00:00:00,,,7.87,1501.9999999999989,8675,0.17314121037463964,34.7,1.8999999999999986,36.6,,2022-09-24 00:00:00,Jason,7.78,920.9999999999993,7700,0.11961038961038953,30.8,1.1999999999999993,32,,,,,,,,,,,,,,,,,,
2022-08-19 00:00:00,,,7.91,1170,8925,0.13109243697478992,35.7,1.5,37.2,,2022-09-25 00:00:00,Jason,7.71,671.9999999999989,8175.000000000001,0.08220183486238518,32.7,0.8999999999999986,33.6,,,,,,,,,,,,,,,,,,
2022-08-20 00:00:00,,,7.85,3078.9999999999977,8925,0.34498599439775884,35.7,3.799999999999997,39.5,,2022-09-26 00:00:00,Jason,7.79,1003.9999999999976,8400,0.11952380952380924,33.6,1.2999999999999972,34.9,,,,,,,,,,,,,,,,,,
2022-08-21 00:00:00,,,7.93,1418.9999999999975,9025,0.15722991689750665,36.1,1.7999999999999972,37.9,,2022-09-27 00:00:00,,7.77,-27962.999999999996,8400,-3.328928571428571,33.6,-33.6,,,,,,,,,,,,,,,,,,,
2022-08-22 00:00:00,,,7.82,1999.9999999999998,9100,0.21978021978021975,36.4,2.5,38.9,,2022-09-28 00:00:00,,,-27962.999999999996,8400,-3.328928571428571,33.6,-33.6,,,,,,,,,,,,,,,,,,,
2022-08-22 00:00:00,,,7.86,1086.9999999999989,8675,0.12530259365994223,34.7,1.3999999999999986,36.1,,2022-09-29 00:00:00,,,-27962.999999999996,8400,-3.328928571428571,33.6,-33.6,,,,,,,,,,,,,,,,,,,
2022-08-23 00:00:00,,,7.91,837.9999999999953,8300,0.10096385542168619,33.2,1.0999999999999943,34.3,,2022-09-30 00:00:00,,7.7,1169.999999999997,7950,0.14716981132075435,31.8,1.4999999999999964,33.3,14:30hs,Jason,,,,,,,,,,,,,,,,
2022-08-24 00:00:00,,,7.85,1170,8775,0.13333333333333333,35.1,1.5,36.6,,2022-10-01 00:00:00,,7.68,1336.0000000000023,9450,0.14137566137566163,37.8,1.7000000000000028,39.5,16:00hs,Jason,,,,,,,,,,,,,,,,
2022-08-25 00:00:00,,,7.8,921.0000000000024,9750,0.09446153846153871,39,1.2000000000000028,40.2,,2022-10-02 00:00:00,,7.71,920.9999999999993,7450,0.12362416107382541,29.8,1.1999999999999993,31,15:00hs ,Jason,,,,,,,,,,,,,,,,
2022-08-26 00:00:00,,,7.79,1004.0000000000035,8825,0.11376770538243666,35.3,1.3000000000000043,36.6,,2022-10-03 00:00:00,,7.84,1086.9999999999989,8775,0.12387464387464374,35.1,1.3999999999999986,36.5,,,,,,,,,,,,,,,,,,
2022-08-27 00:00:00,,,7.84,1916.9999999999986,8600,0.2229069767441859,34.4,2.3999999999999986,36.8,,2022-10-04 00:00:00,,7.75,423.00000000000114,8650,0.04890173410404637,34.6,0.6000000000000014,35.2,,,,,,,,,,,,,,,,,,
