Fecha ingreso,Semana,Sustrato,Proveedor,Observaciones,Transportista,Cantidad sustrato,Lugar de descarga,N° remito,Patente,ST (%) Análisis Planta,Responsable,Columna1,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
2024-06-11,24,Barrido Cargil,Cargill S.A.C.I.,,Transcereal S.A,6920.0,Playón,565,AB706XB/AE014SA,0.8501,Leonardo,,,,,4.0
2024-06-11,24,Lactosa,Remotti S.A.,,Federico Fogliatto,30100.0,Buffer,562,AG001DB/JDF165,0.1335,Cristián,,,,,-3.0
2024-06-11,24,Lactosa,Remotti S.A.,,Federico Fogliatto,28340.0,Buffer,564,AG001DB/JDF165,0.1314,Leonardo,,,,,2.0
2024-06-12,24,Expeller de girasol,Blessing Aceitera de Ameghino S.A.,,Transcereal S.A,13820.0,Playón,568,kwv336,0.8913,Leonardo,,,,,4.0
2024-06-12,24,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,22680.0,Playón,567,FEJ852/AE310WL,0.2482,Cristián,,,,,-1.0
2024-06-12,24,Lactosa,Remotti S.A.,,Federico Fogliatto,30560.0,Buffer,566,AG001DB/JDF165,0.1312,Cristián,,,,,-1.0
2024-06-12,24,Suero ,Nonna Pia S.R.L.,Rufino,Agustin Cabeza,27440.0,Buffer,570,SBB8585/AGJ450,0.0626,Agustín,,,,,4.0
2024-06-12,24,Lactosa,Remotti S.A.,,Federico Fogliatto,27440.0,Buffer,569,SDF165/AG001MB,0.1237,Leonardo,,,,,-1.0
2024-06-13,24,Lactosa,Remotti S.A.,,Federico Fogliatto,28940.0,Buffer,571,KKS989/JDF165,0.127,Gustavo,,,,,2.0
2024-06-13,24,Lactosa,Remotti S.A.,,Federico Fogliatto,27100.0,Buffer,572,KKS989/JDF165,0.1267,Leonardo,,,,,1.0
2024-06-14,24,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,25080.0,Playón,575,FEJ852/LJH045,0.2316,Gustavo,,,,,3.0
2024-06-14,24,Lactosa,Remotti S.A.,,Federico Fogliatto,27380.0,Buffer,574,KKS989/JDF165,0.1216,Gustavo,,,,,-1.0
2024-06-14,24,Suero ,Nonna Pia S.R.L.,Rufino,Agustin Cabeza,27580.0,Buffer,573,SBB8585/AGJ450,0.0589,Agustín,,,,,-1.0
2024-06-14,24,Lactosa,Remotti S.A.,,Federico Fogliatto,28560.0,Buffer,576,KKS989/JDF165,0.1258,Leonardo,,,,,3.0
2024-06-15,24,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,1230.0,Playón,602,,,Agustin ,,,,,26.0
2024-06-15,24,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,5080.0,Buffer,578,WTG 975,0.3378,Gustavo,,,,,-24.0
2024-06-15,24,Lactosa,Remotti S.A.,,Federico Fogliatto,28460.0,Buffer,577,KKS989/JDF165,0.1215,Gustavo,,,,,-1.0
2024-06-15,24,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,28000.0,Buffer,579,SBB8585/AGJ450,0.0642,Cristián,,,,,2.0
2024-06-16,25,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,27720.0,Buffer,581,SBB8585/AGJ450,0.0469,Gustavo,,,,,2.0
2024-06-16,25,Lactosa,Remotti S.A.,,Federico Fogliatto,28820.0,Buffer,580,JXJ011/HQK 297,0.1254,Gustavo,,,,,-1.0
2024-06-17,25,Lactosa,Remotti S.A.,,Federico Fogliatto,27400.0,Buffer,582,KKS989/JDF165,0.1277,Gustavo,,,,,2.0
2024-06-17,25,Suero ,Nonna Pia S.R.L.,Laboulaye,Agustin Cabeza,27560.0,Buffer,583,SBB8585/AGJ450,0.0423,Cristián,,,,,1.0
