2024-10-08 00:00:00,00:00:00,3.46,nan,nan.1,nan.2,nan.3,nan.4,nan.5,676.63,nan.6,nan.7,nan.8,nan.9,nan.10,nan.11,nan.12,nan.13,nan.14,nan.15,nan.16,nan.17,nan.18,668.96,nan.19,nan.20,nan.21,nan.22,nan.23,nan.24,Unnamed: 30,Unnamed: 31,Unnamed: 32,Corriente,Tn SV,Real TnSV,Real (tn Bruta),TnSV/ Carga,% SV,Unnamed: 39,Unnamed: 40,1.2,4.3125,4.3125.1,90,0
2024-10-09,11:00:00,3.3842321854017765,0.072,0.20833333333333334,-7.213924786388283e-15,3.3842321854017765,3.3842321854017694,3.3842321854017694,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683239,0.3709,0.30208333333333376,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,,,,,,,,,,,,,
2024-10-09,12:00:00,3.3842321854017694,0.072,0.20833333333333293,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,-1.2775594180253617e-15,0.8690357679683225,0.8690357679683212,0.8690357679683212,,,,Descargas en Buffer,,,,,,,,,,,,
2024-10-09,13:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683211,0.3709,0.3020833333333328,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Sustratos ,Cantidad diaria,,Calidad,Comentarios,,,,,,,,
2024-10-09,14:00:00,3.3842321854017765,0.072,0.20833333333333334,-7.213924786388283e-15,3.3842321854017765,3.3842321854017694,3.3842321854017694,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,2.5551188360507235e-15,0.8690357679683225,0.869035767968325,0.869035767968325,,,,Lactosa,X,,28.5,,,,,,,,,
2024-10-09,15:00:00,3.3842321854017694,0.072,0.20833333333333293,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.035767968325,0.3709,0.3020833333333342,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Suero ,,,,,,,,,,,,
2024-10-09,16:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Purin ,X,,,,,,,,,,,
2024-10-09,17:00:00,3.3842321854017765,0.072,0.20833333333333334,-7.213924786388283e-15,3.3842321854017765,3.3842321854017694,3.3842321854017694,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,2.5551188360507235e-15,0.8690357679683225,0.869035767968325,0.869035767968325,,,,,,,,,,,,,,,,
2024-10-09,18:00:00,3.3842321854017694,0.072,0.20833333333333293,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.035767968325,0.3709,0.3020833333333342,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,A cargar en Solid ,,,,,,,,,,,,
2024-10-09,19:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Sustratos ,Cantidad diaria,Palero,Cantidad/turno ,Comentarios,,,,,,,,
2024-10-09,20:00:00,3.3842321854017765,0.072,0.20833333333333334,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,2.5551188360507235e-15,0.8690357679683225,0.869035767968325,0.869035767968325,,,,Rumen ,8,,4,,,,,,,,,
2024-10-09,21:00:00,3.3842321854017765,0.072,0.20833333333333334,1.4427849572776565e-14,3.3842321854017765,3.3842321854017907,3.3842321854017907,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.035767968325,0.3709,0.3020833333333342,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Expeller ,1,,0.5,,,,,,,,,
2024-10-09,22:00:00,3.3842321854017907,0.072,0.20833333333333423,0.0,3.3842321854017765,3.3842321854017765,3.3842321854017765,899.0025185879198,0.3709,0.31249999999999994,0.0,0.8990025185879198,0.8990025185879198,0.8990025185879198,0.0,0.072,0.0,0.0,0.0,0.0,0.0,869.0357679683225,0.3709,0.3020833333333333,0.0,0.8690357679683225,0.8690357679683225,0.8690357679683225,,,,Polvillo+Cascarillo planta de Silo,0.5,,0.16666666666666666,,,,,,,,,
